token_mode,ensemble,scaling,n,m,compression_ratio,d_k,heads,true_attention_entropy_nats,max_entropy_nats,entropy_fraction,relative_l2,cosine_similarity,nmse_db,norm_ratio
redundant,rademacher,variance_calibrated,256,16,16.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,5.521653652191162,-0.3261191248893738,14.841383934020996,5.093060493469238
redundant,rademacher,paper_sqrt_dk,256,32,8.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,6.032067775726318,-0.03606363385915756,15.609326362609863,5.917270660400391
redundant,rademacher,variance_calibrated,256,32,8.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,2.7276337146759033,0.19981366395950317,8.715721130371094,2.743441343307495
redundant,rademacher,paper_sqrt_dk,256,64,4.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,3.167055130004883,-0.04519849270582199,10.01311206817627,2.969179630279541
redundant,rademacher,variance_calibrated,256,64,4.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.8548656702041626,-0.08224345743656158,5.36624813079834,1.475767970085144
redundant,rademacher,paper_sqrt_dk,256,128,2.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.3608765602111816,0.09730551391839981,2.676375150680542,1.0337344408035278
redundant,rademacher,variance_calibrated,256,128,2.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.3712794780731201,-0.2487184852361679,2.742518901824951,0.7193793058395386
redundant,gaussian,NO_SOFTMAX_control,256,16,16.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,2.8711354732513428,0.3084583878517151,9.161075592041016,3.050440788269043
redundant,gaussian,NO_SOFTMAX_control,256,32,8.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.9288231134414673,0.4091528654098511,5.7058515548706055,2.1218817234039307
redundant,gaussian,NO_SOFTMAX_control,256,64,4.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.4338606595993042,0.5586380958557129,3.1301403045654297,1.8184301853179932
redundant,gaussian,NO_SOFTMAX_control,256,128,2.0,64,4,5.117082118988037,5.545177459716797,0.9227986220750051,1.0747243165969849,0.7340056896209717,0.6259412169456482,1.6622283458709717
